Out_Date,Out_Day,Out_Weekday,Out_Month,out_Year,Out_Time,Out_Cities,Out_Airline,Return_Date,Return_Day,Return_Weekday,Return_Month,Return_Year,Return_Time,Return_Cities,Return_Airline,Out_Travel_Time,Return_Travel_Time,Out_Journey_Type,Return_Journey_Type,Out_Stop_Cities,Return_Stop_Cities,Price,timestamp,sort
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,05:25–06:25,MAA Chennai,IndiGo,1h 15m,1h 00m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,05:25–06:25,MAA Chennai,IndiGo,1h 15m,1h 00m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,13:05–14:10,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,13:05–14:10,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,17:35–18:40,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,09:00–10:05,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,17:35–18:40,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,09:00–10:05,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,20:50–22:00,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,20:50–22:00,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,14:30–15:40,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,14:30–15:40,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,08:20–09:40,MAA Chennai,SpiceJet,1h 15m,1h 20m,direct,direct,0,0,4272,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,08:20–09:40,MAA Chennai,SpiceJet,1h 15m,1h 20m,direct,direct,0,0,4272,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,15:50–17:00,MAA Chennai,AirAsia India,1h 15m,1h 10m,direct,direct,0,0,4279,20211227-1625,Best
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,05:25–06:25,MAA Chennai,IndiGo,1h 15m,1h 00m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,05:25–06:25,MAA Chennai,IndiGo,1h 15m,1h 00m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,13:05–14:10,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,13:05–14:10,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,17:35–18:40,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,09:00–10:05,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,17:35–18:40,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,09:00–10:05,MAA Chennai,IndiGo,1h 15m,1h 05m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,20:50–22:00,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,20:50–22:00,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,14:30–15:40,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,14:30–15:40,MAA Chennai,IndiGo,1h 15m,1h 10m,direct,direct,0,0,4263,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,15:45–17:00,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,08:20–09:40,MAA Chennai,SpiceJet,1h 15m,1h 20m,direct,direct,0,0,4272,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,08:20–09:40,MAA Chennai,SpiceJet,1h 15m,1h 20m,direct,direct,0,0,4272,20211227-1622,Cheap
28/12/2021,28,Tuesday,December,2021,07:05–08:20,BLR Bengaluru,IndiGo,31/1/2021,31,Sunday,January,2021,15:50–17:00,MAA Chennai,AirAsia India,1h 15m,1h 10m,direct,direct,0,0,4279,20211227-1622,Cheap
